mass_A
t	x	y	v_{x}	v_{y}	a_{y}
3.336666667E-2	2.696642966E1	5.335858239E1			
6.673333333E-2	3.451484268E1	6.614648211E1	2.342106175E2	3.872459642E2	
1.001000000E-1	4.259608486E1	7.920079640E1	2.302183911E2	3.340162784E2	-1.356000987E3
1.334666667E-1	4.987808331E1	8.843650175E1	2.222339382E2	2.794558504E2	-1.116706695E3
1.668333333E-1	5.742649634E1	9.784981682E1	2.262261646E2	2.701406554E2	-7.178828754E2
2.002000000E-1	6.497490937E1	1.064638882E2	2.275569068E2	2.315491332E2	-1.458555683E3
2.335666667E-1	7.261212725E1	1.133018623E2	2.302183911E2	1.716657367E2	-1.469950650E3
2.669333333E-1	8.033815000E1	1.179197150E2	2.302183911E2	1.290819881E2	
3.003000000E-1	8.797536789E1	1.219159336E2			
5.338666667E-1	1.384165279E2	1.214719094E2			
5.672333333E-1	1.459649409E2	1.175644956E2	2.235646804E2	-1.450508938E2	
6.006000000E-1	1.533357442E2	1.117921797E2	2.182417118E2	-1.902961267E2	-1.469950650E3
6.339666667E-1	1.605289378E2	1.048654007E2	2.328798754E2	-2.395335861E2	-7.976476393E2
6.673333333E-1	1.688765946E2	9.580730506E1	2.182417118E2	-2.528410075E2	-7.064879091E2
7.007000000E-1	1.750929347E2	8.799247746E1	2.129187432E2	-2.714713976E2	-9.115973021E2
7.340666667E-1	1.830853720E2	7.769111380E1	2.342106175E2	-3.247010834E2	-1.504135548E3
7.674333333E-1	1.907225899E2	6.632409183E1	2.355413597E2	-3.672848320E2	-1.002757032E3
8.008000000E-1	1.988038321E2	5.318097267E1	2.235646804E2	-3.965611592E2	
8.341666667E-1	2.056418062E2	3.986024380E1			
