mass_A
t	x	y	v_{x}	v_{y}	a_{y}
0.000000000E0	1.868040887E1	2.713946194E1			
3.336666667E-2	2.661077112E1	3.542228474E1	2.310175198E2	2.188450211E2	
6.673333333E-2	3.409697802E1	4.174371968E1	2.352345685E2	1.811969269E2	-1.028711624E3
1.001000000E-1	4.230875799E1	4.751415966E1	2.461072919E2	1.546485010E2	-8.391163443E2
1.334666667E-1	5.052053797E1	5.206392965E1	2.411186305E2	1.230536459E2	-1.053691845E3
1.668333333E-1	5.839940794E1	5.572593963E1	2.461072919E2	8.647012957E1	-1.082170003E3
2.002000000E-1	6.694409791E1	5.783436963E1	2.510959532E2	4.822372611E1	-1.067930924E3
2.335666667E-1	7.515587788E1	5.894406962E1	2.377928563E2	1.662887107E1	-1.025213687E3
2.669333333E-1	8.281280785E1	5.894406962E1	2.444444048E2	-1.995464529E1	-1.196082635E3
3.003000000E-1	9.146846782E1	5.761242963E1	2.560846145E2	-6.318971007E1	-1.110648161E3
3.336666667E-1	9.990218780E1	5.472720964E1	2.427815176E2	-9.644745222E1	-1.110648161E3
3.670333333E-1	1.076700878E2	5.117616965E1	2.461072919E2	-1.330309686E2	-1.053691845E3
4.004000000E-1	1.163257477E2	4.584960967E1	2.477701790E2	-1.712773720E2	-1.153365398E3
4.337666667E-1	1.242046177E2	3.974625969E1	2.560846145E2	-2.061980013E2	-1.110648161E3
4.671333333E-1	1.334151277E2	3.208932972E1	2.743763727E2	-2.477701790E2	-1.096409082E3
5.005000000E-1	1.425146676E2	2.321172975E1	2.627361629E2	-2.793650340E2	-1.082170003E3
5.338666667E-1	1.509483876E2	1.344636978E1	2.544217274E2	-3.176114375E2	-8.685838179E2
5.672333333E-1	1.594930776E2	2.016459819E0	2.477701790E2	-3.425547441E2	
6.006000000E-1	1.674829176E2	-9.413450141E0			
